valence,year,acousticness,artistname,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,trackname,popularity,release_date,speechiness,tempo,uri
0.449,1921,0.765,Mehmet Kemiksiz,0.474,256731,0.398,0,1Wy1BuvVlkZWsfSge0dp9Q,0.00368,11,0.202,-9.565,1,Doksan Senelik Ömre İlâhi,0,1921,0.0309,75.931,spotify:track:1Wy1BuvVlkZWsfSge0dp9Q
0.205,1921,0.965,Dennis Day,0.278,177067,0.251,0,1Ybjz5mMnE0hJbkB8n7V80,2.32e-06,5,0.111,-11.139,1,Galway Bay,0,1921,0.0371,69.90100000000001,spotify:track:1Ybjz5mMnE0hJbkB8n7V80
0.536,1921,0.991,"Wolfgang Amadeus Mozart, Arturo Toscanini",0.371,248507,0.0742,0,1oOI1MEkrpbnMCRSK5vGZ1,0.0167,3,0.385,-20.093,1,"Symphony No. 39 in E-Flat Major, K. 543: III. Menuetto",0,1921,0.0362,138.376,spotify:track:4Q7qUpWF2O8v0MWLy6YHag
0.752,1921,0.7090000000000001,Mehmet Kemiksiz,0.516,249652,0.5760000000000001,0,1qmXkw1WhSvvIL5IqBnW82,0.226,6,0.11,-7.197,0,Kasr-ı Gülşen,0,1921,0.0303,123.853,spotify:track:1qmXkw1WhSvvIL5IqBnW82
0.537,1921,0.993,Ignacio Corsini,0.396,198200,0.158,0,1s6QwBiqGcedNZnld0OIJV,0.738,3,0.115,-24.309,0,Un Lamento - Remasterizado,0,1921-03-20,0.0734,134.614,spotify:track:1s6QwBiqGcedNZnld0OIJV
0.0348,1921,0.8490000000000001,"Sergei Rachmaninoff, Yuri Temirkanov, St. Petersburg Philharmonic Orchestra",0.0663,537733,0.0257,0,1xGx91Ks3RQFqyam0Fdrky,0.956,6,0.0709,-31.134,0,"No. 14, Vocalise",1,1921,0.0472,74.282,spotify:track:1xGx91Ks3RQFqyam0Fdrky
0.275,1921,0.597,Mehmet Kemiksiz,0.508,124787,0.5,0,1zBcLIHAqpBlL8gAJ5Cxa7,4.49e-06,0,0.254,-7.805,1,Yâ Râb Bu Uğursuz Gecenin Yok mu Sabahı -,0,1921,0.0345,127.969,spotify:track:1zBcLIHAqpBlL8gAJ5Cxa7
0.647,1921,0.976,"Felix Mendelssohn, Arturo Toscanini",0.301,269680,0.233,0,273hgBmjqe8KSxmWHyyPAD,0.205,7,0.211,-24.463,0,"A Midsummer Night's Dream, Op. 61: Scherzo",0,1921,0.0449,86.27,spotify:track:0XZFjeLEtXWXuOuI1eN4pr
0.5579999999999999,1921,0.996,Ignacio Corsini,0.655,178347,0.119,0,27LYINFAjaKGMWQc6EfAtT,0.474,11,0.143,-22.774,1,Mis Harapos - Remasterizado,0,1921-03-20,0.127,106.511,spotify:track:2EQcrI3nWVhsgDiKXZJCQ9
0.194,1921,0.983,Christopher Lynch,0.213,191200,0.185,0,2Bj1dMObcYNFt75znIEtWa,2.64e-05,3,0.189,-14.138,1,The Rose Of Tralee,0,1921,0.0372,165.137,spotify:track:2Bj1dMObcYNFt75znIEtWa
0.0379,1921,0.992,"Sergei Rachmaninoff, Zubin Mehta, Vladimir Feltsman, Israel Philharmonic Orchestra",0.241,167867,0.109,0,2Cfk7LOOiTLVxe9BNoGGCL,0.853,1,0.0771,-19.286,1,"Rhapsody on a Theme of Paganini, Op. 43: Var. XVIII, Andante cantabile",4,1921,0.0377,79.97399999999998,spotify:track:1Ntznh66WcoCqrKYBq3AiR
0.222,1921,0.982,Morton Downey,0.363,163627,0.12,0,2CkM2wcBtqG796dZeZJhPk,1.75e-05,7,0.355,-14.037,1,Where The River Shannon Flows,1,1921,0.0452,82.315,spotify:track:2CkM2wcBtqG796dZeZJhPk
0.959,1921,0.951,Louis Boucot,0.823,169267,0.329,0,2EV71z9RFz15SDR8WezEXG,0.0,5,0.0646,-12.853,1,Une Canne Et Des Gants,0,1921,0.143,119.061,spotify:track:2EV71z9RFz15SDR8WezEXG
0.619,1921,0.956,Ignacio Corsini,0.293,155987,0.232,0,2F9giG3Sziq3kJJl9n0GJi,0.7120000000000001,5,0.109,-20.828000000000007,0,Lamento - Remasterizado,0,1921-03-20,0.0679,87.417,spotify:track:2F9giG3Sziq3kJJl9n0GJi
0.524,1921,0.995,Ignacio Corsini,0.334,174960,0.147,0,2GdUG0kUEGNkM4J3scYyu8,0.258,7,0.101,-23.214,1,Al Pie de la Reja - Remasterizado,0,1921-03-20,0.0486,135.111,spotify:track:2GdUG0kUEGNkM4J3scYyu8
0.5379999999999999,1921,0.757,Mehmet Kemiksiz,0.55,158642,0.515,0,2MtcWKwc16dqFqdM7v1WST,0.0126,11,0.375,-6.064,0,Şu Boğaz Harbi Nedir,0,1921,0.0336,123.983,spotify:track:2MtcWKwc16dqFqdM7v1WST
0.233,1921,0.866,Thomas Hallsten Paine,0.312,141000,0.175,0,2OE3f5tu6Pd9beS0WWmQ7Z,0.0,2,0.366,-14.145,1,April Showers,0,1921,0.0347,117.609,spotify:track:1EJS1LkW98AphVVI7a7oii
0.233,1921,0.866,Thomas Hallsten Paine,0.312,141000,0.175,0,2OE3f5tu6Pd9beS0WWmQ7Z,0.0,2,0.366,-14.145,1,April Showers,0,1921,0.0347,117.609,spotify:track:1EJS1LkW98AphVVI7a7oii
0.072,1921,0.923,KHP Kridhamardawa Karaton Ngayogyakarta Hadiningrat,0.396,378070,0.3,0,2OlwTxNQ9kSkbPFC7tQN5x,0.61,9,0.135,-11.768,1,Gati Hendrakusuma,2,1921,0.0353,110.746,spotify:track:2OlwTxNQ9kSkbPFC7tQN5x
0.234,1921,0.992,"Ildebrando Pizzetti, Arturo Toscanini",0.251,207800,0.275,0,2WlMjnZIthzqfwYVHh6zbj,0.785,9,0.294,-17.295,0,II. Le quai du porte de Famagouste,0,1921,0.0371,94.264,spotify:track:2WlMjnZIthzqfwYVHh6zbj
0.231,1921,0.653,KHP Kridhamardawa Karaton Ngayogyakarta Hadiningrat,0.727,301357,0.0116,0,2X6BN8RXjr4ArIEhjGa6QV,3.78e-05,3,0.204,-32.959,0,Tedhak Saking,2,1921,0.22,132.41299999999998,spotify:track:2X6BN8RXjr4ArIEhjGa6QV
0.574,1921,0.995,Alice Cocéa,0.514,172133,0.256,0,2aCCdTBcNmbcplMO66UAvU,0.0,0,0.349,-15.145,1,Si J'avais Su,0,1921,0.0871,79.467,spotify:track:2aCCdTBcNmbcplMO66UAvU
