user_id,artistname,trackname,playlistname,id,artists,key,danceability,liveness,valence,year,acousticness,duration_ms,energy,explicit,instrumentalness,loudness,mode,popularity,speechiness,tempo,release_date
944c80d26922ae634d6ce445b1fdff7f,Kelly Clarkson,Tie It Up,Starred944c80d26922ae634d6ce445b1fdff7f,6Cra4GLG5fE5M3aiVQ3SVk,Kelly Clarkson,2,0.731,0.187,0.738,2013,0.138,167907,0.94,0,0,-3.396,1,25,0.0642,94.085,2013-06-25
944c80d26922ae634d6ce445b1fdff7f,Kimya Dawson,Tire Swing,Starred944c80d26922ae634d6ce445b1fdff7f,0vbhRDi46TDNHkhKbZa81B,Kimya Dawson,5,0.513,0.121,0.391,2006,0.841,188280,0.221,0,5.53e-05,-13.239,1,54,0.0792,165.885,2006-05-09
944c80d26922ae634d6ce445b1fdff7f,Joshua Radin,Tomorrow Is Gonna Be Better,Starred944c80d26922ae634d6ce445b1fdff7f,1yuyNZdVu5ACzNODeXQnnC,Joshua Radin,6,0.316,0.117,0.569,2012,0.553,169547,0.22,0,0.000227,-12.008,1,24,0.0345,70.704,2012-07-30
944c80d26922ae634d6ce445b1fdff7f,Placebo,Too Many Friends,Starred944c80d26922ae634d6ce445b1fdff7f,008YRXvWDr1SDXQJLyvc2j,Placebo,7,0.583,0.326,0.314,2016,0.000644,214373,0.81,0,0,-5.53,0,44,0.0402,110.081,2016-10-07
944c80d26922ae634d6ce445b1fdff7f,Jack Penate,Torn On The Platform,Starred944c80d26922ae634d6ce445b1fdff7f,1NZyZukxZJm9u9ykgRYpZK,Jack Peñate,9,0.498,0.112,0.451,2007,0.00519,233680,0.893,0,0,-4.558,1,37,0.114,116.142,2007-10-08
944c80d26922ae634d6ce445b1fdff7f,Kimya Dawson & Antsy Pants,Tree Hugger,Starred944c80d26922ae634d6ce445b1fdff7f,5jspOlRyRvl3UL7zFX1Ppv,Kimya Dawson & Antsy Pants,7,0.735,0.0983,0.774,2007,0.395,194480,0.523,0,1.96e-06,-11.717,1,48,0.034,101.283,2007-12-11
944c80d26922ae634d6ce445b1fdff7f,P!nk,Trouble,Starred944c80d26922ae634d6ce445b1fdff7f,0qrGSKtrEj7PJAGVBFE9vG,P!nk,7,0.572,0.244,0.848,2003,0.00825,193600,0.933,0,0,-2.705,1,56,0.05,135.56,2003-11-10
944c80d26922ae634d6ce445b1fdff7f,Jason Derulo,Trumpets,Starred944c80d26922ae634d6ce445b1fdff7f,6jizk5lOUnfpaZXYMdfeC6,Jason Derulo,0,0.627,0.0962,0.64,2013,0.563,217307,0.703,0,0,-4.884,1,64,0.236,81.897,2013-09-10
944c80d26922ae634d6ce445b1fdff7f,S Club 7,Two In A Million,Starred944c80d26922ae634d6ce445b1fdff7f,3JV17jq7Ou2X6jENvAyJ46,S Club,1,0.667,0.0971,0.768,1999,0.199,211200,0.704,0,0,-7.186,1,41,0.0253,91.042,1999-01-01
944c80d26922ae634d6ce445b1fdff7f,Katy Perry,Unconditionally,Starred944c80d26922ae634d6ce445b1fdff7f,009ImBOrIUlWgla8U05RAC,Katy Perry,7,0.432,0.208,0.353,2013,0.00273,228879,0.725,0,0,-4.862,1,76,0.0431,128.902,2013-01-01
